thetis,1.06e+18,88.9
thetis1,1.06e+18,88.9
artemis,1.26e+18,108.2
artemis1,1.26e+18,108.2
bellona,2.60e+18,115.0
bellona1,2.60e+18,115.0
klymene,1.50e+18,117.7
klymene1,1.50e+18,117.7
lydia,1.23e+18,78.5
lydia1,1.23e+18,78.5
hippo,1.88e+18,117.5
hippo1,1.88e+18,117.5
balam,5.09e+14,7.0
balam1,5.09e+14,7.0
