name,n_vert,n_face,V_genesis,V_collapse,V_sphere,V_ellipsoid,V_hull,V_mesh,shape_spread_pct,equiv_diameter,surface_area,density_gcc,density_unc_pct
thetis,1022,2040,367878.07494943525,367878.07494943525,456315.5814689005,477906.96814241057,367878.34726094943,367878.07494943525,29.909065172774635,88.9,26433.85046468614,2.8813894390028456,29.909065172774635
bellona,402,800,796328.2878380636,796328.2878380634,933088.0872397635,914026.9876358323,798957.4476190069,796328.2878380636,17.17379647192824,115.0,42854.572407701846,3.2649851069069644,17.17379647192824
lydia1,1598,3192,253283.90456205374,253283.90456205368,284663.133634366,274903.99903338373,253284.10162327325,253283.90456205374,12.388955044960005,78.50000000000001,20471.46619653708,4.856210670499412,12.388955044960005
artemis,1021,2038,663254.8045065532,663254.8045065532,744298.9355012232,715110.1805916233,663255.1849781076,663254.8045065532,12.21915475681552,108.19999999999996,38847.84959419178,1.8997223863872525,12.21915475681552
balam,1022,2040,179.59438003021648,179.59438003021648,200.68062034240862,190.463693622126,179.59448329014845,179.59438003021648,11.741035720964321,6.999999999999999,157.76583239822284,2.8341644093448886,11.741035720964321
lydia,1597,3190,253283.90456205362,253283.90456205365,279936.9004985705,272281.1921059581,253284.10951263257,253283.90456205362,10.522972623389505,78.5,20597.564388299772,4.856210670499414,10.522972623389505
hippo,1018,2032,849399.9324834723,849399.9324834722,933553.7960802137,880360.7347051168,849400.0143227141,849399.9324834723,9.907448821039191,117.5,45455.84041801907,2.21332723032278,9.907448821039191
klymene,994,1984,853744.6807723598,853744.68077236,843136.413085989,822285.7263814047,853745.5186803507,853744.6807723598,3.684918103441094,117.69999999999995,47422.663019160536,1.7569655586527233,3.684918103441094
klymene1,1014,2024,853744.6807723601,853744.6807723602,851138.1676433174,845523.6301566289,853745.3343047777,853744.6807723601,0.9630167347819738,117.69999999999997,46798.452932911765,1.7569655586527226,0.9630167347819738
